ID: 4, Type: laptop, Speed: N/A km/h, Position: (316, 239)
ID: 4, Type: laptop, Speed: N/A km/h, Position: (316, 239)
ID: 4, Type: laptop, Speed: 3 km/h, Position: (315, 239)
ID: 4, Type: laptop, Speed: 2 km/h, Position: (315, 239)
ID: 4, Type: laptop, Speed: 4 km/h, Position: (317, 239)
ID: 4, Type: laptop, Speed: 18 km/h, Position: (328, 239)
ID: 4, Type: laptop, Speed: 30 km/h, Position: (341, 239)
ID: 4, Type: laptop, Speed: 36 km/h, Position: (352, 239)
ID: 4, Type: laptop, Speed: 41 km/h, Position: (341, 239)
ID: 4, Type: laptop, Speed: 37 km/h, Position: (343, 239)
ID: 4, Type: laptop, Speed: 44 km/h, Position: (327, 239)
ID: 4, Type: laptop, Speed: 45 km/h, Position: (319, 239)
ID: 4, Type: laptop, Speed: 43 km/h, Position: (316, 241)
ID: 4, Type: laptop, Speed: 42 km/h, Position: (318, 239)
ID: 4, Type: laptop, Speed: 40 km/h, Position: (319, 242)
ID: 4, Type: laptop, Speed: 39 km/h, Position: (317, 239)
ID: 4, Type: laptop, Speed: 37 km/h, Position: (316, 239)
ID: 46, Type: car, Speed: N/A km/h, Position: (280, 185)
ID: 47, Type: car, Speed: N/A km/h, Position: (312, 283)
ID: 50, Type: car, Speed: N/A km/h, Position: (213, 271)
ID: 51, Type: car, Speed: N/A km/h, Position: (444, 278)
ID: 4, Type: car, Speed: N/A km/h, Position: (322, 114)
ID: 46, Type: car, Speed: 202 km/h, Position: (267, 212)
ID: 47, Type: car, Speed: 169 km/h, Position: (300, 305)
ID: 50, Type: car, Speed: 41 km/h, Position: (219, 272)
ID: 51, Type: car, Speed: 191 km/h, Position: (429, 302)
ID: 4, Type: truck, Speed: 71 km/h, Position: (314, 107)
ID: 46, Type: truck, Speed: 137 km/h, Position: (257, 216)
ID: 47, Type: truck, Speed: 117 km/h, Position: (291, 309)
ID: 51, Type: truck, Speed: 131 km/h, Position: (419, 306)
ID: 65, Type: truck, Speed: N/A km/h, Position: (175, 316)
ID: 4, Type: car, Speed: 62 km/h, Position: (313, 99)
ID: 46, Type: car, Speed: 93 km/h, Position: (256, 216)
ID: 47, Type: car, Speed: 82 km/h, Position: (289, 309)
ID: 51, Type: car, Speed: 92 km/h, Position: (417, 307)
ID: 65, Type: car, Speed: 41 km/h, Position: (174, 310)
ID: 66, Type: car, Speed: N/A km/h, Position: (279, 179)
ID: 67, Type: car, Speed: N/A km/h, Position: (329, 158)
ID: 69, Type: car, Speed: N/A km/h, Position: (405, 204)
ID: 70, Type: car, Speed: N/A km/h, Position: (246, 145)
ID: 71, Type: car, Speed: N/A km/h, Position: (375, 158)
ID: 46, Type: truck, Speed: 76 km/h, Position: (260, 216)
ID: 47, Type: truck, Speed: 68 km/h, Position: (293, 308)
ID: 51, Type: truck, Speed: 87 km/h, Position: (411, 316)
ID: 65, Type: truck, Speed: 28 km/h, Position: (172, 309)
ID: 66, Type: truck, Speed: 33 km/h, Position: (284, 179)
ID: 67, Type: truck, Speed: 27 km/h, Position: (333, 159)
ID: 69, Type: truck, Speed: 33 km/h, Position: (410, 204)
ID: 70, Type: truck, Speed: 33 km/h, Position: (251, 145)
ID: 71, Type: truck, Speed: 33 km/h, Position: (380, 158)
ID: 72, Type: truck, Speed: N/A km/h, Position: (425, 302)
ID: 46, Type: car, Speed: 67 km/h, Position: (263, 213)
ID: 47, Type: car, Speed: 59 km/h, Position: (295, 305)
ID: 65, Type: car, Speed: 40 km/h, Position: (181, 306)
ID: 66, Type: car, Speed: 21 km/h, Position: (285, 178)
ID: 67, Type: car, Speed: 27 km/h, Position: (336, 156)
ID: 69, Type: car, Speed: 27 km/h, Position: (413, 203)
ID: 70, Type: car, Speed: 31 km/h, Position: (255, 143)
ID: 71, Type: car, Speed: 28 km/h, Position: (383, 156)
ID: 72, Type: car, Speed: 20 km/h, Position: (428, 302)
ID: 75, Type: car, Speed: N/A km/h, Position: (324, 104)
ID: 46, Type: car, Speed: 57 km/h, Position: (262, 214)
ID: 47, Type: car, Speed: 59 km/h, Position: (292, 313)
ID: 65, Type: car, Speed: 42 km/h, Position: (177, 312)
ID: 67, Type: car, Speed: 24 km/h, Position: (338, 158)
ID: 69, Type: car, Speed: 30 km/h, Position: (417, 207)
ID: 70, Type: car, Speed: 25 km/h, Position: (255, 141)
ID: 71, Type: car, Speed: 26 km/h, Position: (386, 157)
